Word,Time
blue,1236828
laptop,1236828
tablet,1238830
iPhone,1243623
Samsung,1243623
phone,1243623
Google,1243623
phone,1243623
Oculus,1245941
smart,1248824
glasses,1248824
Nintendo,1253223
switch,1253223
Nintendo,1253223
DS,1253223
Xbox,1259132
5,1259132
Xbox,1259132
4,1259132
PlayStation,1259132
5,1259132
PlayStation,1259132
4,1259132
Mac,1263244
windows,1263244
Nook,1266351
Kindle,1266351
keyboard,1268720
airpods,1271747
Beats,1271747
boys,1277429
speaker,1277429
JBL,1277429
speaker,1277429
boombox,1277429
headphones,1282839
Apple,1282839
watch,1282839
Fitbit,1282839
Google,1285923
Fitness,1285923
tracker,1285923
or,1289343
a,1289343
ring,1289343
metal,1289343
ring,1289343
