Word,Time
tampons,1099325
condoms,1099325
dish,1099325
soap,1099325
dishwasher,1101724
soap,1101724
laundry,1106440
detergent,1106440
plates,1106440
pencils,1106440
napkins,1113139
forks,1113139
knives,1113139
spoons,1113139
flowers,1113139
sponges,1118138
trash,1118138
bags,1118138
trash,1118138
cans,1118138
tongs,1122335
spatulas,1122335
mop,1131524
Swiffer,1136041
Swiffer,1136041
pads,1136041
pads,1136041
Advil,1147228
Benadryl,1147228
Aleve,1147228
Zyrtec,1147228
olivert,1150323
Tums,1152220
ankle,1157047
brace,1157047
knee,1157047
brace,1157047
wrist,1157047
brace,1157047
elbow,1159327
brace,1159327
Icy,1162222
Hot,1162222
Biofreeze,1163725
eye,1167133
drops,1167133
readers,1171023
glasses,1171023
nasal,1177941
spray,1177941
antihistamines,1177941
daytime,1177941
cold,1177941
medicine,1177941
night,1177941
time,1177941
cold,1177941
medicine,1177941
melatonin,1182726
biotin,1182726
magnesium,1182726
vitamin,1187145
D,1187145
vitamin,1187145
B,1187145
