Word,Time
Dr,596486
lawyer,596486
consultant,596486
marketing,596486
ad,596486
exact,596486
CEO,596486
CFO,596486
coo,596486
CTO,596486
contractor,601685
Constructor,604073
architect,606789
engineer,606789
mathematician,612591
software,612591
engineer,612591
mechanical,612591
engineer,612591
civil,612591
engineer,612591
recruiter,614185
Human,617899
Resources,617899
a,617899
CPO,617899
accountant,620074
data,623477
scientist,623477
nurse,629772
researcher,632073
Healthcare,636873
teacher,638985
professor,640384
research,643376
assistant,643376
greater,644571
teaching,647777
assistant,647777
babysitter,650987
Nanny,653394
chef,653394
a,655776
waiter,655776
host,657072
