Word,Time
fingernail,922087
Finger,933891
palm,933891
hand,933891
wrist,933891
forearm,933891
elbow,933891
bicep,933891
arm,933891
shoulder,933891
collarbone,933891
neck,933891
chin,942402
face,942402
head,942402
scalp,942402
ear,942402
nose,942402
mouth,942402
waist,948883
hip,948883
sternum,948883
rib,948883
cage,948883
heart,948883
thigh,960203
calf,960203
knee,960203
leg,960203
foot,960203
ankle,960203
pinky,960203
toe,960203
big,960203
toe,960203
pinky,966003
finger,966003
ring,966003
finger,966003
middle,966003
finger,966003
index,966003
finger,966003
thumb,966003
toes,967371
ball,972702
of,972702
your,972702
foot,972702
heal,972702
or,972702
to,972702
your,972702
foot,972702
small,976395
intestine,976395
large,976395
intestine,976395
liver,979786
kidney,979786
