Word,Time
great,705871
cool,705871
dog,722176
cat,722176
how,722176
specific,722176
can,722176
I,722176
get,722176
can,722176
I,722176
say,722176
like,722176
breeds,722176
okay,722176
golden,722176
retriever,722176
Husky,722176
Pomeranian,722176
King,722176
Cavalier,722176
poodle,722176
Maltese,722176
Chihuahua,722176
golden,722176
retriever,722176
dachshund,722176
Yorkie,724346
Siamese,728046
cat,730749
Calico,730749
hippo,732258
cheetah,743753
Panther,743753
falcon,743753
eagle,743753
tiger,743753
lion,743753
black,743753
bear,743753
brown,743753
bear,743753
polar,743753
bear,743753
penguin,743753
seal,743753
giraffe,746960
elephant,746960
Fox,750147
lemur,751846
gecko,754158
lizard,759648
serpent,759648
snake,759648
rattler,759648
Samoyed,765769
Malamute,765769
seal,772258
turtle,772258
tortoise,772258
fennec,773571
sloth,778144
kangaroo,782745
tarantula,782745
daddy,785947
long,785947
leg,785947
