Word,Time
black,1775960
pen,1775960
blue,1775960
pen,1775960
red,1775960
pen,1775960
purple,1775960
pen,1775960
neon,1789668
highlighters,1789668
pink,1789668
highlighters,1789668
purple,1789668
highlighters,1789668
green,1789668
highlighters,1789668
blue,1789668
highlighters,1789668
yellow,1789668
highlighters,1789668
orange,1789668
highlighters,1789668
pastel,1789668
highlighters,1789668
baby,1789668
blue,1789668
highlighter,1789668
Post-it,1796274
notes,1796274
binder,1796274
clips,1796274
push,1796274
pins,1796274
