Word,Time
do,7279
I,7279
say,7279
yeah,7279
keyboard,11773
mouse,11773
typewriter,14050
stapler,15648
scissor,17450
Chopsticks,23170
pork,23170
knife,23170
spoon,23170
gloves,26954
wrench,33176
hammer,35677
screw,37020
,49580
a,53153
phone,53153
computer,54864
speakers,63574
guitar,68859
piano,71172
Mike,73175
base,78710
drums,78710
a,85279
stand,85279
because,93056
books,93056
could,93056
be,93056
told,93056
to,93056
ebooks,95777
and,101054
audio,101054
books,101054
key,116031
whiteboard,116031
of,119281
pencil,119281
pen,119281
eraser,122351
board,124264
marker,124264
table,127067
a,131780
headphones,131780
like,134350
Bluetooth,134350
device,134350
,138362
