Word,Time
is,1399531
it,1399531
like,1399531
cooked,1399531
Foods,1399531
or,1399531
anything,1399531
a,1402582
salad,1402582
tomato,1407688
green,1407688
onions,1407688
bring,1407688
onion,1407688
cucumber,1407688
lettuce,1409065
and,1410864
carrots,1415571
green,1420616
peas,1420616
green,1420616
beans,1420616
lentils,1423366
lemons,1428269
limes,1428269
clementines,1431265
a,1437894
satsuma's,1437894
mandarins,1437894
oranges,1437894
tangelos,1437894
and,1437894
tangerines,1441370
I,1441370
might,1441370
have,1441370
already,1441370
said,1441370
that,1441370
raspberries,1448087
blackberries,1448087
strawberries,1448087
blueberries,1448087
Plum,1456075
Cuts,1456075
apricots,1456075
peaches,1456075
plums,1456075
pomegranates,1458969
a,1469096
kiwis,1469096
jello,1469096
rice,1474365
pudding,1474365
brown,1474365
rice,1474365
white,1474365
rice,1474365
popcorn,1477683
black,1484198
beans,1484198
the,1488694
refried,1488694
beans,1488694
Joel,1492169
off,1492169
fried,1494168
rice,1494168
Ramen,1498969
eggs,1498969
poached,1502368
eggs,1502368
scrambled,1502368
eggs,1502368
boiled,1502368
eggs,1502368
and,1504462
over,1509671
easy,1509671
eggs,1509671
quail,1509671
eggs,1509671
like,1521775
apricot,1521775
jam,1521775
or,1521775
blueberry,1521775
jam,1521775
raspberry,1521775
jam,1521775
blackberry,1521775
jam,1521775
big,1521775
Jam,1521775
figs,1521775
tortillas,1528074
sliced,1529887
bread,1529887
loaf,1532067
bread,1532067
and,1533368
milk,1538896
cashew,1538896
milk,1538896
oat,1538896
milk,1538896
soy,1544470
milk,1544470
almond,1544470
milk,1544470
almonds,1544470
cashews,1544470
oats,1548787
overnight,1548787
oats,1548787
plain,1551789
yogurt,1551789
vanilla,1557873
flavored,1557873
yogurt,1557873
strawberry,1557873
yogurt,1557873
Blackberry,1557873
yogurt,1557873
let's,1569766
see,1569766
pasta,1576062
marinara,1578568
sauce,1578568
bolognese,1581668
sauce,1581668
and,1584662
ginger,1589592
tomorrow,1589592
wheatgrass,1592889
,1607244
adoma,1612265
rice,1623178
peel,1623178
off,1623178
Rosetta,1623178
or,1623178
was,1623178
it,1623178
called,1623178
risotto,1623178
sriracha,1632468
hot,1635279
sauce,1635279
salsa,1635279
and,1639289
tortilla,1639289
chips,1639289
corn,1639289
chips,1639289
potato,1641863
chips,1641863
ice,1654389
cream,1654389
Mochi,1659989
macaroons,1659989
cake,1662866
pop,1669462
,1672560
spaghetti,1677894
or,1677894
lo,1677894
mein,1677894
and,1680279
,1683362
