Word,Time
microwave,723457
oven,723457
air,723457
fryer,723457
sink,723457
Fork,726464
spoons,726464
knives,726464
butter,728438
knife,728438
and,729356
electric,732957
stove,732957
or,732957
gas,732957
stove,732957
,735231
oven,738458
mitts,738458
olive,741450
oil,741450
other,744440
oils,744440
refrigerator,747238
freezer,747238
cabinets,753261
pots,753261
pans,753261
a,756570
cutting,756570
boards,756570
wouldn't,764442
spend,764442
some,764442
knives,764442
for,764442
mixing,764442
the,774363
KitchenAid,774363
milk,774363
frother,774363
milk,774363
broccoli,777233
carrots,780155
spring,783640
onions,783640
yellow,783640
onions,783640
kimchi,790075
noodles,793236
rice,795644
semolina,799863
water,802440
bottles,802440
drinking,808358
glasses,808358
or,808358
wine,808358
glasses,808358
wine,808358
other,808358
spirits,808358
fruit,815953
juice,815953
lemon,815953
juice,815953
lemons,818557
limes,818557
the,824145
thing,824145
that,824145
you,824145
used,824145
to,824145
squeeze,824145
lemons,824145
let's,827365
see,827365
cereal,830138
,833148
oat,836938
milk,836938
or,839643
soy,839643
milk,839643
almond,843838
milk,843838
leftovers,851137
Tupperware,854350
or,854350
other,854350
like,854350
containers,855848
peeler,862456
can,862456
opener,862456
the,865038
cleaning,865038
solution,865038
Rags,869336
towels,869336
lights,872058
magnets,875634
frozen,886943
meals,886943
and,889021
Frozen,892342
vegetable,892342
backups,892342
,895213
,903819
rug,911514
and,911514
mop,911514
a,913328
broom,913328
garbage,917435
can,917435
recycling,917435
bin,917435
compost,917435
bin,917435
compost,920514
bags,920514
trash,920514
bags,920514
Tomatoes,937024
strawberries,937024
blackberries,937024
blueberries,937024
watermelon,946008
popsicles,946008
ice,946008
cream,946008
and,953722
Cooks,953722
and,957922
dishwashers,957922
plates,960731
bowls,960731
Christmas,965601
plates,965601
chopsticks,974019
and,976398
green,993119
peas,993119
and,995124
lentils,996811
green,998509
beans,998509
corn,1000398
and,1004414
lettuce,1008006
