Word,Time
grass,1107516
tree,1108817
Rock,1111530
pebble,1111530
Mountain,1115605
clay,1115605
concrete,1118001
graphite,1121804
water,1127315
cloud,1134813
fish,1138016
carbon,1153522
hydrogen,1153522
sand,1166125
dogs,1175503
cats,1175503
cows,1177540
eggs,1186938
rain,1198028
earthquake,1200800
tornado,1203114
hurricane,1204840
gold,1238919
silver,1238919
LED,1240202
Steel,1248100
cotton,1263623
corn,1267424
bananas,1271018
tomatoes,1276100
redwood,1287022
tree,1287022
lion,1300828
Neon,1302102
Thunder,1323301
lightning,1325346
apples,1332220
volcanoes,1347903
lava,1349701
spiders,1358115
